"","Type","Method","Time","Temperature","before","after"
"1","Button","Rinse","1","10",20.92,21.037
"2","Button","Rinse","1","10",12.709,12.8
"3","Button","Rinse","1","10",37.469,37.837
"4","Button","Rinse","1","10",11.986,12.092
"5","Shiitake","Rinse","1","10",6.637,7.268
"6","Shiitake","Rinse","1","10",6.036,6.192
"7","Button","Soak","1","10",10.378,10.532
"8","Button","Soak","1","10",19.614,19.805
"9","Button","Soak","1","10",13.646,13.939
"10","Button","Soak","1","10",25.814,26.069
"11","Shiitake","Soak","1","10",8.911,9.153
"12","Shiitake","Soak","1","10",8.102,8.512
"13","Button","Rinse","5","10",17.223,17.617
"14","Button","Rinse","5","10",20.689,20.934
"15","Button","Rinse","5","10",28.39,28.81
"16","Button","Rinse","5","10",14.503,14.66
"17","Shiitake","Rinse","5","10",20.686,21.085
"18","Shiitake","Rinse","5","10",8.914,9.65
"19","Button","Soak","5","10",15.05,15.24
"20","Button","Soak","5","10",21.842,22.648
"21","Button","Soak","5","10",26.199,27.234
"22","Button","Soak","5","10",14.884,15.206
"23","Shiitake","Soak","5","10",8.916,9.644
"24","Shiitake","Soak","5","10",7.435,8.067
"25","Button","Rinse","1","40",18.622,19.067
"26","Button","Rinse","1","40",13.031,13.625
"27","Button","Rinse","1","40",15.151,15.48
"28","Button","Rinse","1","40",27.969,28.705
"29","Shiitake","Rinse","1","40",20.73,21.595
"30","Shiitake","Rinse","1","40",10.581,11.588
"31","Button","Soak","1","40",18.448,18.867
"32","Button","Soak","1","40",20.767,21.158
"33","Button","Soak","1","40",29.606,30.201
"34","Button","Soak","1","40",25.62,26.932
"35","Shiitake","Soak","1","40",9.41,9.953
"36","Shiitake","Soak","1","40",8.354,8.818
"37","Button","Rinse","5","40",21.738,24.994
"38","Button","Rinse","5","40",10.801,11.333
"39","Button","Rinse","5","40",26.026,27.279
"40","Button","Rinse","5","40",14.076,15.442
"41","Shiitake","Rinse","5","40",13.246,15.297
"42","Shiitake","Rinse","5","40",7.262,8.811
"43","Button","Soak","5","40",12.579,13.979
"44","Button","Soak","5","40",19.064,21.148
"45","Button","Soak","5","40",14.098,14.962
"46","Button","Soak","5","40",30.943,32.022
"47","Shiitake","Soak","5","40",15.534,17.141
"48","Shiitake","Soak","5","40",12.455,14.235
"92","Shiitake","Rinse","1","10",11.739,12.37
"102","Shiitake","Rinse","1","40",3.015,4.022
"112","Shiitake","Rinse","5","10",8.794,9.53
"122","Shiitake","Rinse","5","40",3.554,5.605
"132","Shiitake","Soak","1","10",9.316,9.726
"142","Shiitake","Soak","1","40",12.402,12.866
"152","Shiitake","Soak","5","10",7.661,8.389
"162","Shiitake","Soak","5","40",6.04,7.647
"91","Shiitake","Rinse","1","10",10.274,10.627
"101","Shiitake","Rinse","1","40",17.538,18.206
"111","Shiitake","Rinse","5","10",12.129,12.85
"121","Shiitake","Rinse","5","40",10.115,11.39
"131","Shiitake","Soak","1","10",10.763,11.187
"141","Shiitake","Soak","1","40",17.749,18.12
"151","Shiitake","Soak","5","10",11.149,11.959
"161","Shiitake","Soak","5","40",1.46,2.563
